Search,Search Count,Last Search Date
"ext:pbix;pq dm:last3days !github:  !(  (file:""~$"")  | ( path:ww:""$recycle.bin""  ) |   ( path:ww:temp) (regex:file:""^\~\$.*\.(pbix|xlsx)$""  !file:""%userprofile%\Microsoft\Power BI Desktop Store App"" !file:""%userprofile%\Microsoft\Power BI Desktop Store App\TempSaves""  ) ( path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store App\AutoRecovery"" !path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store App\TempSaves"" ) ) )",2,132719032939323035
"ext:pbix;pq unit",2,132718667506517958
"ext:pq;pbit;pbix !path:x: !github: ( web | bin | uniq | http ) !skydrive:",2,132718094967405172
"ext:ps1 (alert|alarm)",2,132714406748762873
"ext:ps1 ( env | venv ) me:",2,132713931285421158
"appdata:   !path:ww:""C:\Program Files\Microsoft OneDrive""",2,132713814616530084
"ext:ps1 dm:today !github:",2,132713814069041619
"ext:ps1;md me: ext:ps1 dm:last301days",2,132711113277275692
"ext:ps1;md me: ext:ps1 dm:last300days",2,132710180943112815
"ext:ps1 me:",2,132708454517403930
"ext:ps1;md dm:last3hours",2,132707884911586883
"!x:\ ext:ps1;md ( psreadline | path:psreadline ) !path:eztheme",2,132706184708360976
"ext:ps1 profile ninse",2,132706038754558894
"ext:ps1 git",2,132704267460905661
"!path:x ext:ps1 !github:",2,132704267306522116
"ext:ps1 dm:last7days content:shouldpr",2,132702472974602093
"folder:portal",2,132699147077771126
".egstore path:satis",2,132698806523793559
"folder:ww:"".git"" folder: !path:""$Recycle.Bin""",2,132698199987999735
"wholeword:.git folder: ",2,132697990501405393
"ext:pbix power query lib",2,132695409936998606
"ext:png dm:today",2,132693928991130689
"path:spotify ext:json   !downloads:",2,132693197091698671
"path:spotify ext:json",2,132693178408873066
"ext:pbix;ps1;pq;md dm:last48hours",2,132692402961713007
"ext:pbix;ps1",2,132692391052103443
"ext:ps1 path:buffer",2,132692272070614573
"ancestry expor",2,132692232843471061
"ext:pbix;pq;ps1;md dm:today",2,132692152085555718
"ext:xlsx data",2,132691418457718123
"C:\Users\cppmo_000\Documents\2019\ ext:py;sh;md !path:venv !path:env !path:.git content:pprint",2,132691162307180575
"ext:ps1    dm:thisweek  ",2,132690640165729669
"ext:pbix;pq    web",2,132690634835214738
"ext:md;ps1",2,132689722776588945
"ext:pbix date",2,132689407093995383
"ext:pbix;pq (( web | req | http | text ) | )",2,132687712892765964
"(power | ext:pbix | |measure) svg ext:pbix;pq;md",2,132687706362293468
"purchase log",2,132687593974682771
"ext:pbix inspect",2,132687181981226288
"path:ww:G:\2020-github-downloads dfink",2,132686061199486615
"dm:today ext:json;md;pbix;png;pq;ps1",2,132685890882937762
"ext:ps1 dm:last13days content:commandtype",2,132685207776549874
"ext:ps1 event",2,132676039560966763
"ext:pbix dm:thisweek",2,132675628530795207
"ext:ps1 validateset",2,132674795967917106
"""X:\2020-data-secondary\screen to gif"" valid",2,132674665397230063
"ext:json settings path:code path:dotfile",2,132674663543363422
"path:overwatch",2,132673877991713511
"asana | (dad)  ",2,132672930368359142
"ext:ps1;pbix;pq dm:last5hours",2,132672918905409322
"ext:pbix;pq dm:last5hours",2,132672463150135334
"ext:pbix dm:last5minutes",2,132672457912412219
"ext:ps1 dm:yesterday",2,132670376307473533
"ext:ps1;pbix;md;pq;png dm:last2days me:",1,132748262416590829
"ext:pbix me: weather",1,132748186502054922
" dm:last4minutes ( diagnost )",1,132745668598176060
"dm:last4minutes !firefox  !path:firefox !path:spotify",1,132745667907592742
"(ext:log | file:log | file:trace | file:bug | file:crash )",1,132745666711066400
"(folder: dm:last3minutes) | (folder: dc:last3minutes)",1,132745585469919936
"ext:gif (file:fzf | path:""fzf""",1,132744900819337968
"ext:gif me: !path:portal",1,132744900315919461
"ext:log dm:last30seconds  !path:""code""",1,132744860435362750
"ext:log dm:last30seconds",1,132744860237401930
"ext:ps1;pbix;md;pq;png dm:last3weeks me: ext:pbix;pq path:tem",1,132744724308586435
"ext:ps1;pbix;md;pq;png dm:last3weeks me: ext:pbix",1,132744615228108102
"ext:ps1;pbix;md;pq;png dm:last72hours me:  ext:png",1,132744129615129310
"ext:ps1;pbix;md;pq dm:last72hours me:  path:query path:lib",1,132744039905928994
"dm:last3minutes  ( path:magic | )",1,132742415168021935
"ext:code-workspace power lib",1,132742239577772875
"path:power path:query lib",1,132742065340736803
"ext:pbix dm:last3months",1,132741640138631757
"J:\games\mtg_arena\MTGA\MTGA_Data\ ext:mtga !file:shader !path:assetbundle manife",1,132741593317184667
