Search,Search Count,Last Search Date
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks   ext:ps1;xlsx dm:last48hours ext:xlsx",2,133084168435564402
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks   ext:ps1",5,133084168431104268
"ext:pbix path:mapping",1,133082854551397101
"( path:""C:\Users\cppmo_000\SkyDrive\Documents\2021"" | path:""C:\Users\cppmo_000\SkyDrive\Documents\2022"" )  ext:ps1;xlsx;pbix;pq ext:pbix",1,133082794629127614
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks",11,133082793747472097
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx;yaml;sh;zip  dm:last2hours",2,133082726214865346
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2021"" ext:pbix;pq;md ( path:replace | path:map )",2,133082721804192405
"ext:ps1 dm:last1years me: !path:bdg !path:ww:""documents\powershell\modules\"" path:execution",1,133082669716156677
"ext:ps1 dm:last1years me: !path:bdg !path:ww:""documents\powershell\modules\"" path:native",1,133082668595029058
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022"" ext:pbix;pq;md ( path:replace | path:map )",1,133082573555988117
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  ext:xlsx dm:last2weeks",1,133082512519391054
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx;yaml;sh  dm:last2hours",1,133082456789334413
"ext:pbix dm:last5hours",1,133081870263252622
"ext:png dm:last5hours",1,133081869233128112
"ext:pbix dm:last6hours",1,133081868089347473
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks base",1,133080964512580740
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last24hours",1,133080958989667320
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1  path:examplemodule path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" path:""demo-runtime""  ext:psm1",3,133080958469435388
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:xlsx;ps1;md",3,133080852217260559
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1  path:examplemodule path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" path:""demo-runtime"" ",1,133080828335965930
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:xlsx;ps1;md;yml ext:yml",1,133080656302997747
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:xlsx",2,133080643708499172
"ext:ipynb me: dm:last20weeks path:xpath",2,133080643581923704
"ext:ipynb me: dm:last20weeks path:web",1,133080280375081405
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:ps1 !dm:yesterday",9,133080280190254647
"docker-credential-desktop.exe",1,133080232621788581
"ext:png;jpg;svg;gif;mp4 path:waiaas  path:ww:""root_c\skydrive""  ",1,133079884549803903
"ext:png;jpg;svg;gif;mp4 path:waiaas  path:ww:""root_c\skydrive""   ",1,133079884179892498
"ext:png;jpg;svg;gif;mp4 path:waiaas path:",1,133079880240972654
"ext:png;jpg;svg;gif;mp4 path:waiaas",1,133079879852266868
"ext:png;jpg;svg;gif;mp4 path:waa",1,133079879473175641
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks",1,133079807805902877
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self""",2,133079807706312564
"ext:pq dm:today",1,133078193456259556
"ext:ps1;xlsx;pbix;xlsx;ps1;md;csv;code-workspace;dax;pbix;md;pq;csv path:bdg  dm:last48hours ext:xlsx;ps1;md;csv",3,133078193362474443
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self\tests-invoke""",1,133078089428533842
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq;csv path:bdg  dm:last48hours",3,133078085559952646
"ext:csv;xlsx;ps1;md;json;pbix;pq;md  !(path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )     ( no_venv: noAppData: !path:""bdg\github"" )   ext:pbix;pq;md   me: path:delay",1,133077546956328580
"ext:csv;xlsx;ps1;md;json;pbix;pq;md  !(path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )     ( no_venv: noAppData: !path:""bdg\github"" )   ext:pbix;pq;md   me: path:time",1,133077546354907742
"ext:csv;xlsx;ps1;md;json;pbix;pq   (path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )     ( no_venv: noAppData: !path:""bdg\github"" )  ",18,133077545847982359
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq;csv path:bdg  dm:last7days",3,133077234457213143
"ext:csv;ps1;json;md;txt;log;xlsx;docx dm:last3weeks ( ""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self\output_static\2022-09-14"" )",4,133076744467465928
"ext:ps1;ipynb;dib dm:last2weeks me: path:scope",1,133076605942607151
"ext:xlsx;ps1 dm:today me:",3,133075871787060494
"docker",1,133075871723043418
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq;csv path:bdg  dm:last7days ext:csv",3,133075848567479267
"ext:xlsx dm:today me:",1,133075591398442387
"""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ( samconfig.toml | ext:ps1;xlsx ) dm:today",1,133075519329311319
"""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ( samconfig.toml | ext:ps1 ) dm:today",3,133075519217281002
"ext:mp4 dm:last4hours",1,133074983067742354
"ext:pq me: dm:last30days",1,133074972082712533
"ext:ps1 dm:last4days me: content:color",1,133074825121914871
"""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" samconfig.toml",1,133074716944313046
"""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self\tests-invoke"" ext:xlsx dm:last20minutes",6,133074707117089947
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github"" no_venv: ( content:DevNin.StringObject | content:DevNin.Obj | path:lookup | content:lookup )",4,133074012887542522
"ext:ps1 path:ast",3,133074009981044277
"ext:ps1 path:dev me: path:tab",1,133073996082293118
"ext:ps1 path:dev me:",1,133073995800985934
"ext:png dm:last4days me:",1,133073986459058331
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github"" no_venv: ( content:DevNin.StringObject | content:DevNin.Obj )",1,133073323926357013
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github\Ninmonkey.Console"" ext:ps1",1,133073322731232903
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github\Ninmonkey.Console"" no_venv: content:typedata",3,133073322531097943
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github\"" no_venv: content:oin-StringStyl",4,133073322403602154
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github\"" no_venv: content:DevNin.StringObject",4,133073322012708008
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github\"" no_venv: content:New-NinPSCustomObject",2,133073321969153825
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github\"" no_venv: content:DevNin.StringObjec",2,133073321724780191
"""C:\Users\cppmo_000\SkyDrive\Documents\2021\Powershell\My_Github\Ninmonkey.Console"" no_venv: ext:ps1xml",1,133073304998510142
"""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self\tests-invoke\.temp\ExportSummary_2022-09-09_11-14-27Z.export\"" ",2,133072272545078977
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq;csv;ps1 path:bdg  dm:last7days",1,133072143890287592
"ext:pbix;xlsx;md;csv dm:last9days me: ext:csv j",1,133070678357280482
"ext:pbix;xlsx;md;csv dm:last9days me:",1,133070678144214516
"ext:pbix;xlsx;md dm:last9days me:",1,133070676848939683
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq;csv path:bdg  dm:last7days ext:xlsx;csv",1,133070674954038039
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq path:bdg  dm:last7days ext:xlsx",5,133070673221621591
"ext:ps1;md me: ext:ps1 dm:last9months content:7z",1,133069430347745414
"ext:ps1;md path:7z",1,133069429340841577
"ext:ps1 path:7z",1,133069427017390500
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq  (path:func | path:meta | path:share | path: section ) !path:github sect",3,133068885342363116
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq  dm:last7days ext:xlsx",1,133068857840754353
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq  (path:func | path:meta | path:share | path: section ) !path:github",1,133068853570150803
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq me: (path:func | path:meta | path:share | path: section )",1,133068853248408499
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq :me (path:func | path:meta | path:share | path: section )",1,133068853162110932
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix;md;pq dm:last330days me: path:format",3,133068796543746595
"ext:ps1;xlsx;pbix;code-workspace;dax;pbix dm:last330days me: path:num path:format",1,133068657816387359
"ext:ps1;xlsx;pbix;code-workspace;dax dm:last330days me: ext:dax",1,133068656787266814
