Search,Search Count,Last Search Date
"ext:ps1;md;png dm:last7days path:bug",1,132973139243867063
"ext:ps1;md;png dm:last7days bug",1,132973138845459669
"ext:pbix;png dm:today me:",1,132973088833300459
"ext:pbix;png dm:today",4,132973084138697618
"ext:pbix da:last2hours dm:last20seconds",1,132972938426962473
"ext:pbix da:last2hours",1,132972936101762601
"ext:pbix dm:last2hours",1,132972935436689521
"ext:pbix hsl",2,132972914368862747
"ext:pbix color",1,132972904877160726
"path:screentogif  ext:xml",2,132972904669193331
"path:screentogif ",1,132972821783313256
"ext:png;gif dm:last12days !path:ww:""refs_links""  me:",2,132972821648120088
"ext:png;gif dm:last12days !path:ww:""ref_links""  me:",1,132972816601295273
"ext:png;gif dm:last12days me:",1,132972816260405431
"dm:last43minutes ext:ps1;pq;md;log path:pq",1,132972778956162199
"( )              !ext:dll                  path:%appdata%\code                       dm:last1hours",1,132972709373352650
"( )              !ext:dll                  path:%appdata%\code                       dm:last1hours ext:log",1,132972709094978245
"( )              !ext:dll                  path:%appdata%\code\logs                           dm:last1hours",1,132972708776413722
"( path:Log | ext:log )              !ext:dll                  path:%appdata%\code\logs                           dm:last1hours",1,132972692352048118
"dm:last32hours ( path:Log | ext:log )              !ext:dll                  !path:%appdata%\code\logs                           dm:before:2022-04-01",2,132972692091812310
"ext:svg dm:last3months me: !path:refs !path:bdg !path:dotfiles",2,132972691643116045
"ext:svg dm:last3months me:!path:refs !path:bdg !path:dotfiles",1,132971827507561206
"ext:xlsx;pbix;docx;csv;js;xlsx;ps1;md;json;pbix;pq            dm:today ext:ps1",4,132971826143533326
"dm:today me: ext:pbix;ps1",2,132971807825395994
"ext:sqlitedb path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store App""",1,132971140386636260
"path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store App"" dm:last23minutes",3,132971139572591940
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq            dm:today !path:2022-fam-share",1,132971131301489184
"ext:xlsx;pbix  ext:docx;csv;js;xlsx;ps1;md;json;pbix;pq                                                                  dm:last30days   !path:2022-fam-share path:buff",5,132971131107093786
"me:  extPBI:         !path:bdg        !pathBackup:       !gitDownloads:",1,132971130895879546
"( |ext:log;json;jsonl;trc ) path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store App"" dm:today path",2,132971130834757899
"extPBI:         !path:bdg        !pathBackup:       !gitDownloads:",12,132971130288517171
"ext:log log me: path:data",2,132971130142462919
"( |ext:log;json;jsonl;trc ) path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store App"" dm:today path:traces dm:last20minutes",2,132971111006338139
"path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store App"" dm:today",1,132971105055720628
"!path:ww:""WebView2""       cat           ""%UserProfile%\Microsoft\Power BI Desktop Store App"" dm:today ext:json;jsonl;log           ",1,132971103124358313
"ext:ps1 dm:today ( me: ) ",1,132971098053011238
"!path:ww:""WebView2""                 ""%UserProfile%\Microsoft\Power BI Desktop Store App"" dm:today ext:json;jsonl;log           ",1,132971097937065569
"!path:ww:""WebView2""                 ""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App"" dm:today ext:json;jsonl;log           ",1,132971012582360884
"""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App"" dm:today ext:json;jsonl;log      path:ww:""WebView2""",1,132971012237801945
"""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App"" dm:today ext:json;jsonl;log",1,132971011807013613
"""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App"" dm:today",2,132971011569939125
"ext:csv;js;xlsx;ps1;md;json;pbix;pq        ext:pbix;pq;md                                              !path:bdg        !pathBackup:       !gitDownloads:",1,132971006366860523
"ext:csv;js;xlsx;ps1;md;json;pbix;pq        ext:pbix;pq;md                          path:ben  path:grib                                 !path:bdg        !pathBackup:       !gitDownloads:",1,132970984173011372
"ext:csv;js;xlsx;ps1;md;json;pbix;pq        ext:pbix;pq;md                                                            !path:bdg        !pathBackup:       !gitDownloads:",9,132970983945670865
"path:ww:""C:\Users\cppmo_000\AppData\Local\NVIDIA""",3,132970982257294867
"ext:json dm:last42minutes",1,132970981217288804
"ext:json dm:last2minutes",1,132970446411488117
"path:ww:""C:\Users\cppmo_000\AppData\Local\Mozilla\Firefox\Profiles"" ( key4.db | logins.json )",1,132970421343084217
"ext:dax;pbix;pq;ps1;md;js;html;pq;dax ext:ps1 ( path:tab | path:dev )",6,132970374324376017
"ext:png;mp3;mp4;mpv4;gif splat ext:json;md",1,132970354482277584
"ext:png;mp3;mp4;mpv4;gif splat ext:gif",1,132970353412740005
