Search,Search Count,Last Search Date
"dm:last20days ext:yml;toml;code-workspace ext:code-workspace",2,133258706211366978
"dm:last20days ext:yml;toml",1,133258701076966906
"dm:last20days ext:yml;toml da:last2days content:""NewPwshRuntimeForBDG3App""",1,133258340526716846
"dm:last3months ext:yml;toml ( content:PwshRuntimeTest"" )",1,133258150161035647
"dm:last25minutes           ( ext:json;log;ps1 | )                                           (  !path:""mozilla"" !path:""*windows*""              !path:spotify  !path:steam !path:nvidia  )",4,133258149642029093
"ext:pq web request",1,133258012259030255
"dm:last3weeks ext:pbit;pbix;pq",1,133258012099711473
"ext:pbit;pbix;pq",1,133258011723180776
"dm:last18days ext:toml;yml ext:yml da:last5days template",3,133257987668496369
"ext:toml dm:last4weeks content:""PwshRuntimeTest""",1,133257984253951390
"ext:toml dm:last2weeks",1,133257983985937617
"ext:toml ;yml dm:last2weeks",1,133257983907818401
"ext:toml dm:last2weeks content:""BDG green""",1,133257983687648986
"dm:last18days ext:toml;yml ext:toml da:last5days",1,133257936643866180
"dm:last8days ext:toml;yml ext:toml ",1,133257935846017893
"dm:last2weeks ext:toml;yml ",1,133257935569167238
"dm:last15minutes           ( ext:json;log;ps1 | )                                           (  !path:""mozilla"" !path:""*windows*""              !path:spotify  !path:steam !path:nvidia  )",1,133257310477520994
"dm:last15minutes           ( ext:json;log;ps1 | )                                           (  !path:""mozilla"" !path:""*windows*""              !path:spotify   )",1,133257308670536821
"dm:last15minutes           ( ext:json;log;ps1 | )                                           (  !path:""mozilla"" )",1,133257308323059322
"dm:last15minutes           ( ext:json;log;ps1 | )",1,133257305739146510
"ext:pbix;pq;md path:""*base64*""",2,133257305058651102
"ext:pbix;pq;md path:""*csv*""",1,133257250521030950
"ext:pbix;pq;md path:""*enter*data*""",1,133257249450939461
"ext:pbix;csv;ps1;json dm:last72hours",3,133257169014459415
"ext:pbix dm:last90hours",1,133256237642412286
"ext:pbix ",1,133256236717262314
"ext:csv da:last6",1,133256235514702719
"ext:pbix;csv dm:last72hours",1,133256233470501167
"ext:ps1;toml;yml dm:last4weeks path:""*bdg*lib*"" ",4,133256233347510158
"ext:yml;md;toml;code-workspace dm:last4weeks  ext:toml;yml content:""lambda-powershell-runtime-sam""",3,133256233298270100
"ext:yml;md;toml;code-workspace dm:last3weeks  ext:code-workspace",1,133256204857898253
"ext:yml;md;toml ext:toml dm:last3weeks ( content:NewPwshRuntimeForBDG3App )",1,133256195217003281
"ext:ps1;code-workspace ( completion* | completer completer )",6,133256188356150250
"ext:xlsx path:*dynamic*",1,133255584131673000
"ext:ps1;code-workspace dm:last5months",2,133254612799613866
"ext:ps1;code-workspace ( complete )",1,133254606315939318
"ext:ps1 dm:last5months",2,133254550125808397
"ext:pbix;pbit",5,133254012193748917
"ext:txl",1,133253144662138367
"|",1,133253144141905199
"ext:pbix;pbit (path:nin | path:jake | path:""cpp_m"" )",2,133252929068053578
" ",2,133252929046693563
"ext:yml;ps1;md;cs;json dm:last3days",3,133252929043313569
"dm:last20minutes",2,133251012144575555
"dm:last300hours ext:ps1 path:excelant",2,133250612886615046
"dm:last3hours ext:ps1",1,133250357341762654
"dm:last1weeks ext:ps1;md         ",5,133250350773222063
"ext:vhdx dm:last8months",3,133250139744431443
"dm:last2hours path:ww:""C:\Users\cppmo_000\AppData\Local\Docker""",1,133250123612688141
"dm:last2hours ext:log",1,133250122299485683
"ext:vhdx dm:last8weeks",2,133250109880125370
"dm:last1weeks ext:ps1;md",10,133249427248012802
"dm:last1days ext:log;json ( | path:""dock"" |  path:ww:""vm"" )  ",1,133249402715022926
"dm:last1days ext:log ( path:ww:""vm"" ) ",1,133249400652428790
"( dm:last9days ext:ps1;md;psm1 ) | folder:type ",2,133248780994435279
"( dm:last2weeks ext:code-workspace;ps1;yml dm:last10days ) template ext:yml;ps1",2,133248780745885936
"(   dm:last100minutes docker             ) | ( path:""C:\ProgramData\DockerDesktop"" )",3,133248653078643875
"dm:last100minutes docker                ",1,133248605304048899
"ext:log dm:last10minutes ",1,133248603678924498
"dm:last1weeks ext:code-workspace;yml;toml  template content:""aws-lambda-powershell-runtime [2023.03.29""",3,133248504388272798
"dm:last4minutes",1,133248503703662262
"dm:last1weeks ext:code-workspace;yml;toml",3,133248494054610131
"dm:last1weeks ext:code-workspace;yml                ",1,133248488437575738
"dm:last1weeks ext:code-workspace;yml                path:ww:""%appData%\AWS SAm""",1,133248488323644790
"dm:last1weeks ext:code-workspace;yml             ",1,133248487302765382
"dm:last1weeks ext:code-workspace;yml",1,133248486993221660
"dm:last3weeks ext:code-workspace",2,133248486460463351
"ext:code-workspace path:bdg",4,133248482837082088
"ext:xlsx dm:last90minutes",1,133247936391326531
"ext:xlsx dm:last3minutes",1,133247580243093025
"( dm:last4weeks ext:code-workspace;ps1;yml dm:last10days ) ",2,133247567466033366
"( dm:last2weeks ext:code-workspace;ps1;yml dm:last10days ) template ext:yml content:""(BDG green) 0x2 [2023.03.30] Demo-runtime-layer-func | Core Paylocity """,1,133247513025594768
"( dm:last2weeks ext:code-workspace;ps1;yml dm:last10days ) template ext:yml content:""GitLogger Echo endpoint""",5,133247485490953674
"( dm:last2weeks ext:code-workspace;ps1;yml dm:last10days ) template ext:yml content:""GitLogger basic endpoint, runtime-layer-func | Base""",1,133246187508264967
"dm:last3weeks ext:code-workspace;ps1;yml dm:last10days ext:yml template",1,133246179930402558
"dm:last3weeks ext:code-workspace;ps1;yml dm:last2days",4,133246176130189134
"ext:xlsx dm:last2hours",5,133246113256623233
"ext:ps1;yml dm:last16hours ext:yml content:""Core Paylocity to JumpCloud Integration for BDG. [2023.03.20]""",3,133245870503409275
"ext:ps1;yml dm:last16hours ext:yml content:""(BDG green) 0x2 [2023.03.30] Demo-runtime-layer-func | Core Paylocity to JumpCloud Integration for BDG. [2023.03.20]""",1,133245793192304159
"ext:ps1;yml dm:last16hours ext:yml",1,133245778005763414
"ext:ps1 dm:last6hours",1,133245777674241500
"ext:ps1 dm:last2hours",1,133245777586108938
"dm:last3weeks ext:code-workspace;ps1;yml dm:last2days content:""(BDG green) 0x2 [2023.03.30] Demo-runtime-layer-func | Core Paylocity """,1,133245743095309694
"dm:last3weeks ext:code-workspace;ps1",9,133245740410546303
"ext:code-workspace;ipynb;ps1;md dm:last3months",1,133245154933834562
"ext:code-workspace;ipynb;ps1 dm:last3months",1,133245154594081067
"ext:code-workspace dm:last3months",9,133245116163827784
"ext:yml dm:last2weeks content:""blue""",1,133244995542563950
"dm:last3weeks ext:code-workspace;yml ( template content:""Description: (BDG green) 0x2 [2023.03.30] Demo-runtime-layer-func | Core Paylocity "" )",1,133243986991164594
"dm:last2weeks ( path:report )",2,133243960929717229
"ext:ps1;md;ipynb ( path:bug )",1,133242520460075340
"ext:ps1;md;ipynb ( path:splatting )",1,133242520113651111
"ext:md;ps1       (   ""everything"" | ""search"" )   !path:jumpcloud !path:copy",2,133242519855937391
"ext:md;ps1       (   ""everything"" | ""search"" )   !path:jumpcloud",1,133242513647510394
"dm:last9days (   ext:pbix;json;ps1;cs;code-workspace;png;md  ) ",2,133242513020737852
"  ext:pbix;json;ps1;cs;code-workspace dm:last5days",1,133242460336900360
"ext:pbix;json;ps1;cs;exe;dll tabulareditor",5,133242458874056710
"ext:ps1;pbix dm:last17days ( | !path:""*bdg*"" ) ext:pbix",2,133241484450831359
"TabularEditor3.Shared.dll",2,133240908246924721
"ext:pbix;json;ps1 tabulareditor",1,133240904488923087
"ext:ps1;pbix dm:last37days ( | !path:""*bdg*"" ) ext:pbix",2,133240903952281107
"ext:ps1 dm:last7days !path:bdg",1,133240548807656986
"ext:ps1 dm:last7days",1,133240548510361155
"ext:png dm:last1hours",3,133240175184762629
"ext:ps1 path:""repo.WriteFileSummary""",1,133239196658948106
"dm:last4weeks ext:ps1 path:""examplehandler.ps1""",2,133239181056240685
"dm:last5weeks ext:ps1 !path:jumpcloud !path:build-dir !path:pwsh\refs  !path:""g:\temp"" !path:github   ( file:examplehandler | file:examplescript ) content:appentry",1,133238099492854396
"dm:last5weeks ext:code-workspace",4,133238097182039021
"dm:last5minutes   !path:search ( !path:Mozilla !path:spotify !path:""Microsoft.Windows.Search"")",1,133238036470675775
"dm:last5weeks ext:code-workspace;yml;ps1 !ext:yml",1,133237244897594425
"dm:last5weeks ext:code-workspace;yml !ext:yml",1,133237244407717853
"dm:last5weeks ext:code-workspace;yml",6,133237175485147733
"ext:png;gif dm:last9months",1,133236705508977240
"ext:ipynb;dib ( path: )",1,133235668193437009
"ext:ps1 ( me: | ) ( path:util )",1,133235666462095319
"dm:last2weeks ext:code-workspace;yml ext:yml content:""Bdg""",3,133234539776645899
"ext:ps1;yml;yaml;toml dm:last1800hours   !path:ww:temp_dump !path:""gitlogger"" !path:%userprofile%   !path:""g:\2023"" !path:ww:""g:\temp""    !path:""c:\program files""  !path:path:""dotfiles.2023"" !path:""gitlogger""    !path:""h:\data\2023\pwsh\refs""  path:invoke",1,133233934932634385
"ext:ps1;yml;yaml;toml dm:last800hours   !path:ww:temp_dump !path:""gitlogger"" !path:%userprofile%   !path:""g:\2023"" !path:ww:""g:\temp""    !path:""c:\program files""  !path:path:""dotfiles.2023"" !path:""gitlogger""    !path:""h:\data\2023\pwsh\refs""  path:invoke",1,133233934268966945
